UID,district,block id,cluster id,Student Identifier,school id,subject,class,baseline,1st question Level,1st level score,2nd question Level,2nd level score,3rd question Level,3rd level score,Admin User ID
024125391_1,CHENGALPATTU,7,33030804503,24125391,33030806401,English,3,Malar,Malar,9,,,,,3000150
024127279_1,CHENGALPATTU,7,33030804503,24127279,33030806401,English,3,Malar,Malar,8,,,,,3000150
024181851_3,CHENGALPATTU,5,33030600402,24181851,33030600201,Tamil,3,Malar,Malar,10,,,,,3000135
024447150_1,CHENGALPATTU,11,33031102402,24447150,33031101502,English,2,Arumbu,Arumbu,8,Mottu,7,,,3000142
024458090_2,CHENGALPATTU,10,33031302504,24458090,33031301101,Mathematics,2,Mottu,Mottu,9,,,,,3000135
024458090_1,CHENGALPATTU,10,33031302504,24458090,33031301101,English,2,Mottu,Mottu,6,,,,,3000135
024506193_2,CHENGALPATTU,10,33031302504,24506193,33031301101,Mathematics,3,Malar,Malar,8,,,,,3000135
024519943_3,CHENGALPATTU,10,33031300202,24519943,33031300201,Tamil,2,Arumbu,Arumbu,8,Mottu,7,,,3000139
024563764_1,CHENGALPATTU,8,33031004102,24563764,33031004402,English,2,Arumbu,Arumbu,7,,,,,3000147
024568217_3,CHENGALPATTU,9,33031204104,24568217,33031204101,Tamil,3,Malar,Malar,7,,,,,3000147
024568820_2,CHENGALPATTU,9,33031204104,24568820,33031204101,Mathematics,3,Malar,Malar,9,,,,,3000147
024584791_1,CHENGALPATTU,7,33030808705,24584791,33030806002,English,2,Mottu,Mottu,10,,,,,3000143
024637492_2,CHENGALPATTU,7,33030804503,24637492,33030806401,Mathematics,2,Arumbu,Arumbu,4,,,,,3000150
024637536_2,CHENGALPATTU,7,33030804503,24637536,33030806401,Mathematics,2,Arumbu,Arumbu,6,,,,,3000150
024641146_3,CHENGALPATTU,9,33031200804,24641146,33031200601,Tamil,2,Mottu,Mottu,9,,,,,3000149
024641146_1,CHENGALPATTU,9,33031200804,24641146,33031200601,English,2,Mottu,Mottu,8,,,,,3000149
024726151_2,CHENGALPATTU,10,33031304906,24726151,33031304501,Mathematics,3,Malar,Malar,8,,,,,3000142
024736505_2,CHENGALPATTU,10,33031304906,24736505,33031304501,Mathematics,3,Malar,Malar,5,,,,,3000142
024837169_1,CHENGALPATTU,11,33031102402,24837169,33031101502,English,2,Arumbu,Arumbu,10,Mottu,8,,,3000142
024837169_2,CHENGALPATTU,11,33031102402,24837169,33031101502,Mathematics,2,Mottu,Mottu,9,,,,,3000142
024941427_2,CHENGALPATTU,10,33031304906,24941427,33031304501,Mathematics,3,Malar,Malar,7,,,,,3000142
024950449_1,CHENGALPATTU,7,33030807901,24950449,33030804202,English,3,Malar,Malar,9,,,,,3000146
025116946_1,CHENGALPATTU,7,33030808501,25116946,33030808101,English,3,Malar,Malar,8,,,,,3000147
025118010_2,CHENGALPATTU,7,33030804503,25118010,33030806401,Mathematics,2,Arumbu,Arumbu,5,,,,,3000150
025121510_1,CHENGALPATTU,10,33031302504,25121510,33031301101,English,2,Mottu,Mottu,10,,,,,3000135
025121510_2,CHENGALPATTU,10,33031302504,25121510,33031301101,Mathematics,2,Mottu,Mottu,10,,,,,3000135
025131360_1,CHENGALPATTU,5,33030602503,25131360,33030602601,English,2,Mottu,Mottu,5,,,,,3000140
025135181_2,CHENGALPATTU,8,33031003603,25135181,33031006002,Mathematics,2,Arumbu,Arumbu,6,,,,,3000144
025135181_1,CHENGALPATTU,8,33031003603,25135181,33031006002,English,2,Arumbu,Arumbu,7,,,,,3000144
025139316_1,CHENGALPATTU,5,33030602503,25139316,33030602601,English,2,Mottu,Mottu,5,,,,,3000140
025151515_2,CHENGALPATTU,11,33031102402,25151515,33031101502,Mathematics,3,Mottu,Mottu,8,,,,,3000142
025172461_3,CHENGALPATTU,5,33030600402,25172461,33030600201,Tamil,3,Malar,Malar,6,,,,,3000135
025172866_1,CHENGALPATTU,5,33030600402,25172866,33030600201,English,3,Malar,Malar,8,,,,,3000135
025193794_1,CHENGALPATTU,10,33031304906,25193794,33031304501,English,3,Arumbu,Arumbu,6,,,,,3000142
025204274_1,CHENGALPATTU,9,33031200804,25204274,33031200601,English,2,Mottu,Mottu,9,,,,,3000149
025205792_2,CHENGALPATTU,8,33031003204,25205792,33031003301,Mathematics,3,Arumbu,Arumbu,6,,,,,3000150
025222807_2,CHENGALPATTU,8,33031003204,25222807,33031003301,Mathematics,3,Arumbu,Arumbu,7,,,,,3000150
025224461_2,CHENGALPATTU,8,33031003204,25224461,33031003301,Mathematics,3,Arumbu,Arumbu,6,,,,,3000150
025304140_1,CHENGALPATTU,10,33031302504,25304140,33031301101,English,3,Malar,Malar,7,,,,,3000135
025403016_2,CHENGALPATTU,7,33030804503,25403016,33030806401,Mathematics,2,Arumbu,Arumbu,6,,,,,3000150
025403105_1,CHENGALPATTU,7,33030804503,25403105,33030806401,English,3,Malar,Malar,7,,,,,3000150
025403105_2,CHENGALPATTU,7,33030804503,25403105,33030806401,Mathematics,3,Malar,Malar,6,,,,,3000150
025482452_1,CHENGALPATTU,7,33030808501,25482452,33030808101,English,3,Arumbu,Arumbu,10,Mottu,7,,,3000147
025510295_2,CHENGALPATTU,9,33031203303,25510295,33031203501,Mathematics,2,Mottu,Mottu,5,,,,,3000131
025528731_1,CHENGALPATTU,11,33031103203,25528731,33031103201,English,1,Arumbu,Arumbu,7,,,,,3000144
025528731_2,CHENGALPATTU,11,33031103203,25528731,33031103201,Mathematics,1,Arumbu,Arumbu,6,,,,,3000144
025539377_2,CHENGALPATTU,8,33031001602,25539377,33031000401,Mathematics,2,Arumbu,Arumbu,10,Mottu,8,,,3000149
025540209_1,CHENGALPATTU,5,33030602904,25540209,33030602902,English,2,Mottu,Mottu,9,,,,,3000142
025556800_3,CHENGALPATTU,10,33031302902,25556800,33031302302,Tamil,2,Arumbu,Arumbu,10,Mottu,5,,,3000134
025559605_1,CHENGALPATTU,7,33030804503,25559605,33030806401,English,2,Mottu,Mottu,6,,,,,3000150
025645333_1,CHENGALPATTU,5,33030602503,25645333,33030602601,English,3,Malar,Malar,7,,,,,3000140
025698600_2,CHENGALPATTU,9,33031201802,25698600,33031201102,Mathematics,3,Malar,Malar,7,,,,,3000132
025698600_1,CHENGALPATTU,9,33031201802,25698600,33031201102,English,3,Malar,Malar,7,,,,,3000132
025698631_2,CHENGALPATTU,9,33031201802,25698631,33031201102,Mathematics,3,Malar,Malar,8,,,,,3000132
025698631_1,CHENGALPATTU,9,33031201802,25698631,33031201102,English,3,Malar,Malar,9,,,,,3000132
025733438_1,CHENGALPATTU,5,33030602503,25733438,33030602601,English,3,Malar,Malar,6,,,,,3000140
025757148_1,CHENGALPATTU,9,33031204104,25757148,33031204101,English,3,Malar,Malar,9,,,,,3000147
025771356_1,CHENGALPATTU,9,33031203303,25771356,33031203501,English,3,Malar,Malar,9,,,,,3000131
025789106_2,CHENGALPATTU,11,33031102402,25789106,33031101502,Mathematics,3,Mottu,Mottu,10,Malar,8,,,3000142
025791474_1,CHENGALPATTU,5,33030602904,25791474,33030602902,English,3,Malar,Malar,6,,,,,3000142
025796483_1,CHENGALPATTU,5,33030602904,25796483,33030602902,English,3,Malar,Malar,8,,,,,3000142
025797919_1,CHENGALPATTU,9,33031203303,25797919,33031203501,English,3,Malar,Malar,4,,,,,3000131
025798868_1,CHENGALPATTU,5,33030602904,25798868,33030602902,English,3,Arumbu,Arumbu,6,,,,,3000142
025806499_1,CHENGALPATTU,5,33030605303,25806499,33030604001,English,3,Arumbu,Arumbu,8,Mottu,6,,,3000143
025811899_1,CHENGALPATTU,10,33031300702,25811899,33031300601,English,3,Mottu,Mottu,4,,,,,3000140
025811899_3,CHENGALPATTU,10,33031300702,25811899,33031300601,Tamil,3,Malar,Malar,9,,,,,3000140
025816997_1,CHENGALPATTU,10,33031302504,25816997,33031301101,English,1,Arumbu,Arumbu,6,,,,,3000135
025818432_2,CHENGALPATTU,10,33031302504,25818432,33031301101,Mathematics,2,Arumbu,Arumbu,6,,,,,3000135
025823082_3,CHENGALPATTU,5,33030600402,25823082,33030600201,Tamil,3,Malar,Malar,8,,,,,3000135
025823082_1,CHENGALPATTU,5,33030600402,25823082,33030600201,English,3,Malar,Malar,5,,,,,3000135
025825101_2,CHENGALPATTU,8,33031003603,25825101,33031006002,Mathematics,3,Arumbu,Arumbu,6,,,,,3000144
025832209_1,CHENGALPATTU,7,33030808501,25832209,33030808101,English,3,Malar,Malar,8,,,,,3000147
025832470_1,CHENGALPATTU,7,33030808501,25832470,33030808101,English,3,Malar,Malar,10,,,,,3000147
025832793_1,CHENGALPATTU,7,33030808501,25832793,33030808101,English,3,Arumbu,Arumbu,7,,,,,3000147
025832919_1,CHENGALPATTU,7,33030808501,25832919,33030808101,English,3,Malar,Malar,9,,,,,3000147
025836579_3,CHENGALPATTU,7,33030803101,25836579,33030806101,Tamil,3,Arumbu,Arumbu,5,,,,,3000144
025837109_1,CHENGALPATTU,7,33030807901,25837109,33030804202,English,3,Malar,Malar,10,,,,,3000146
025837836_3,CHENGALPATTU,7,33030808705,25837836,33030806002,Tamil,3,Malar,Malar,10,,,,,3000143
025837898_1,CHENGALPATTU,7,33030807901,25837898,33030804202,English,3,Arumbu,Arumbu,10,Mottu,10,Malar,9,3000146
025837976_3,CHENGALPATTU,7,33030803101,25837976,33030806101,Tamil,3,Arumbu,Arumbu,7,,,,,3000144
025842078_1,CHENGALPATTU,7,33030808705,25842078,33030806002,English,3,Malar,Malar,9,,,,,3000143
025842879_3,CHENGALPATTU,9,33031200804,25842879,33031200601,Tamil,3,Malar,Malar,9,,,,,3000149
025842879_1,CHENGALPATTU,9,33031200804,25842879,33031200601,English,3,Malar,Malar,7,,,,,3000149
025843429_3,CHENGALPATTU,9,33031200804,25843429,33031200601,Tamil,3,Malar,Malar,10,,,,,3000149
025846398_3,CHENGALPATTU,7,33030808705,25846398,33030806002,Tamil,3,Malar,Malar,9,,,,,3000143
025846754_2,CHENGALPATTU,8,33031003204,25846754,33031003301,Mathematics,3,Arumbu,Arumbu,6,,,,,3000150
025848262_2,CHENGALPATTU,8,33031003204,25848262,33031003301,Mathematics,3,Arumbu,Arumbu,7,,,,,3000150
025849142_2,CHENGALPATTU,8,33031003204,25849142,33031003301,Mathematics,3,Arumbu,Arumbu,9,Mottu,8,,,3000150
025858421_2,CHENGALPATTU,5,33030600402,25858421,33030600201,Mathematics,2,Mottu,Mottu,5,,,,,3000135
025859200_1,CHENGALPATTU,9,33031204206,25859200,33031204207,English,3,Malar,Malar,9,,,,,3000118
025859559_2,CHENGALPATTU,9,33031204206,25859559,33031204207,Mathematics,3,Arumbu,Arumbu,8,,,,,3000118
025859559_1,CHENGALPATTU,9,33031204206,25859559,33031204207,English,3,Malar,Malar,8,,,,,3000118
025859853_1,CHENGALPATTU,9,33031204206,25859853,33031204207,English,3,Malar,Malar,9,,,,,3000118
025873392_1,CHENGALPATTU,7,33030807901,25873392,33030804202,English,3,Mottu,Mottu,10,Malar,9,,,3000146
025873535_1,CHENGALPATTU,7,33030807901,25873535,33030804202,English,3,Malar,Malar,10,,,,,3000146
025873650_1,CHENGALPATTU,7,33030807901,25873650,33030804202,English,3,Malar,Malar,9,,,,,3000146
025876867_3,CHENGALPATTU,7,33030803101,25876867,33030806101,Tamil,3,Arumbu,Arumbu,9,Mottu,6,,,3000144
025884029_2,CHENGALPATTU,10,33031300202,25884029,33031300201,Mathematics,2,Arumbu,Arumbu,9,Mottu,9,,,3000139
025897432_3,CHENGALPATTU,7,33030808705,25897432,33030806002,Tamil,3,Malar,Malar,9,,,,,3000143
025914144_3,CHENGALPATTU,11,33031101703,25914144,33031101801,Tamil,3,Malar,Malar,10,,,,,3000149
025914144_2,CHENGALPATTU,11,33031101703,25914144,33031101801,Mathematics,3,Malar,Malar,7,,,,,3000149
025914428_3,CHENGALPATTU,11,33031101703,25914428,33031101801,Tamil,3,Malar,Malar,5,,,,,3000149
025932706_3,CHENGALPATTU,11,33031101402,25932706,33031101401,Tamil,3,Malar,Malar,9,,,,,3000143
025932706_1,CHENGALPATTU,11,33031101402,25932706,33031101401,English,3,Arumbu,Arumbu,7,,,,,3000143
025936205_1,CHENGALPATTU,11,33031101402,25936205,33031101401,English,3,Arumbu,Arumbu,8,Mottu,7,,,3000143
025936205_3,CHENGALPATTU,11,33031101402,25936205,33031101401,Tamil,3,Malar,Malar,6,,,,,3000143
025936264_3,CHENGALPATTU,11,33031101402,25936264,33031101401,Tamil,3,Malar,Malar,10,,,,,3000143
025936264_1,CHENGALPATTU,11,33031101402,25936264,33031101401,English,3,Mottu,Mottu,10,Malar,8,,,3000143
025944245_1,CHENGALPATTU,10,33031304906,25944245,33031304501,English,2,Arumbu,Arumbu,5,,,,,3000142
025944245_2,CHENGALPATTU,10,33031304906,25944245,33031304501,Mathematics,2,Arumbu,Arumbu,7,,,,,3000142
025967674_2,CHENGALPATTU,10,33031302902,25967674,33031302302,Mathematics,3,Arumbu,Arumbu,5,,,,,3000134
025968728_3,CHENGALPATTU,10,33031302902,25968728,33031302302,Tamil,3,Mottu,Mottu,8,Malar,8,,,3000134
025969077_2,CHENGALPATTU,10,33031302902,25969077,33031302302,Mathematics,3,Arumbu,Arumbu,4,,,,,3000134
025969077_1,CHENGALPATTU,10,33031302902,25969077,33031302302,English,3,Arumbu,Arumbu,6,,,,,3000134
026002898_1,CHENGALPATTU,7,33030808501,26002898,33030808101,English,3,Arumbu,Arumbu,10,Mottu,9,Malar,8,3000147
026003742_1,CHENGALPATTU,5,33030602904,26003742,33030602902,English,3,Malar,Malar,8,,,,,3000142
026003832_1,CHENGALPATTU,11,33031105603,26003832,33031106201,English,3,Arumbu,Arumbu,7,,,,,3000143
026003832_2,CHENGALPATTU,11,33031105603,26003832,33031106201,Mathematics,3,Mottu,Mottu,5,,,,,3000143
026003913_1,CHENGALPATTU,11,33031105603,26003913,33031106201,English,3,Malar,Malar,8,,,,,3000143
026003913_2,CHENGALPATTU,11,33031105603,26003913,33031106201,Mathematics,3,Mottu,Mottu,6,,,,,3000143
026004075_2,CHENGALPATTU,11,33031105603,26004075,33031106201,Mathematics,3,Arumbu,Arumbu,5,,,,,3000143
026004075_1,CHENGALPATTU,11,33031105603,26004075,33031106201,English,3,Malar,Malar,4,,,,,3000143
026034576_3,CHENGALPATTU,7,33030803101,26034576,33030806101,Tamil,3,Arumbu,Arumbu,7,,,,,3000144
026089105_1,CHENGALPATTU,5,33030602904,26089105,33030602902,English,3,Malar,Malar,8,,,,,3000142
026093552_1,CHENGALPATTU,9,33031200804,26093552,33031200601,English,3,Malar,Malar,10,,,,,3000149
026093552_3,CHENGALPATTU,9,33031200804,26093552,33031200601,Tamil,3,Malar,Malar,9,,,,,3000149
026095366_1,CHENGALPATTU,9,33031204206,26095366,33031204207,English,3,Malar,Malar,10,,,,,3000118
026127645_1,CHENGALPATTU,9,33031203303,26127645,33031203501,English,3,Malar,Malar,8,,,,,3000131
026167022_1,CHENGALPATTU,11,33031101402,26167022,33031101401,English,3,Arumbu,Arumbu,9,Mottu,8,Malar,7,3000143
026167022_3,CHENGALPATTU,11,33031101402,26167022,33031101401,Tamil,3,Malar,Malar,9,,,,,3000143
026221114_3,CHENGALPATTU,7,33030803101,26221114,33030806101,Tamil,3,Arumbu,Arumbu,6,,,,,3000144
026248195_2,CHENGALPATTU,10,33031302504,26248195,33031301101,Mathematics,1,Arumbu,Arumbu,9,,,,,3000135
026259542_1,CHENGALPATTU,9,33031203303,26259542,33031203501,English,3,Malar,Malar,9,,,,,3000131
026285904_1,CHENGALPATTU,10,33031300202,26285904,33031300201,English,2,Arumbu,Arumbu,8,Mottu,7,,,3000139
026290647_2,CHENGALPATTU,9,33031204206,26290647,33031204207,Mathematics,3,Arumbu,Arumbu,9,Mottu,7,,,3000118
026290647_1,CHENGALPATTU,9,33031204206,26290647,33031204207,English,3,Malar,Malar,9,,,,,3000118
026339211_1,CHENGALPATTU,10,33031304906,26339211,33031304501,English,2,Arumbu,Arumbu,7,,,,,3000142
026425006_2,CHENGALPATTU,11,33031101703,26425006,33031101801,Mathematics,3,Malar,Malar,7,,,,,3000149
026425006_3,CHENGALPATTU,11,33031101703,26425006,33031101801,Tamil,3,Malar,Malar,9,,,,,3000149
026427196_1,CHENGALPATTU,11,33031102402,26427196,33031101502,English,2,Arumbu,Arumbu,9,Mottu,7,,,3000142
026430287_1,CHENGALPATTU,11,33031102402,26430287,33031101502,English,2,Arumbu,Arumbu,10,Mottu,5,,,3000142
026437639_2,CHENGALPATTU,9,33031203303,26437639,33031203501,Mathematics,2,Mottu,Mottu,9,,,,,3000131
026437878_2,CHENGALPATTU,9,33031203303,26437878,33031203501,Mathematics,2,Mottu,Mottu,7,,,,,3000131
026438079_2,CHENGALPATTU,9,33031203303,26438079,33031203501,Mathematics,2,Mottu,Mottu,9,,,,,3000131
026439890_3,CHENGALPATTU,9,33031203303,26439890,33031203501,Tamil,2,Arumbu,Arumbu,3,,,,,3000131
026439900_3,CHENGALPATTU,9,33031203303,26439900,33031203501,Tamil,2,Arumbu,Arumbu,5,,,,,3000131
026444260_1,CHENGALPATTU,8,33031004102,26444260,33031004402,English,2,Arumbu,Arumbu,7,,,,,3000147
026444392_1,CHENGALPATTU,8,33031004102,26444392,33031004402,English,2,Arumbu,Arumbu,5,,,,,3000147
026449065_1,CHENGALPATTU,11,33031102402,26449065,33031101502,English,2,Arumbu,Arumbu,9,Mottu,7,,,3000142
026449065_2,CHENGALPATTU,11,33031102402,26449065,33031101502,Mathematics,2,Arumbu,Arumbu,9,Mottu,9,,,3000142
026483592_1,CHENGALPATTU,8,33031001602,26483592,33031000401,English,2,Mottu,Mottu,5,,,,,3000149
026483688_1,CHENGALPATTU,8,33031001602,26483688,33031000401,English,2,Arumbu,Arumbu,6,,,,,3000149
026483756_2,CHENGALPATTU,8,33031001602,26483756,33031000401,Mathematics,2,Arumbu,Arumbu,6,,,,,3000149
026484214_2,CHENGALPATTU,8,33031001602,26484214,33031000401,Mathematics,2,Arumbu,Arumbu,10,Mottu,6,,,3000149
026484288_1,CHENGALPATTU,8,33031001602,26484288,33031000401,English,2,Mottu,Mottu,5,,,,,3000149
026496431_1,CHENGALPATTU,8,33031003603,26496431,33031006002,English,2,Arumbu,Arumbu,6,,,,,3000144
026496454_2,CHENGALPATTU,9,33031201802,26496454,33031201102,Mathematics,2,Mottu,Mottu,6,,,,,3000132
026496454_1,CHENGALPATTU,9,33031201802,26496454,33031201102,English,2,Mottu,Mottu,8,,,,,3000132
026496816_2,CHENGALPATTU,9,33031201802,26496816,33031201102,Mathematics,2,Mottu,Mottu,7,,,,,3000132
026500261_1,CHENGALPATTU,9,33031201802,26500261,33031201102,English,2,Mottu,Mottu,10,,,,,3000132
026500261_2,CHENGALPATTU,9,33031201802,26500261,33031201102,Mathematics,2,Mottu,Mottu,7,,,,,3000132
026503084_2,CHENGALPATTU,8,33031003603,26503084,33031006002,Mathematics,2,Arumbu,Arumbu,5,,,,,3000144
026503884_1,CHENGALPATTU,8,33031003603,26503884,33031006002,English,2,Arumbu,Arumbu,7,,,,,3000144
026518539_1,CHENGALPATTU,9,33031201802,26518539,33031201102,English,2,Mottu,Mottu,8,,,,,3000132
026518539_2,CHENGALPATTU,9,33031201802,26518539,33031201102,Mathematics,2,Mottu,Mottu,7,,,,,3000132
026523593_1,CHENGALPATTU,7,33030803101,26523593,33030806101,English,2,Arumbu,Arumbu,7,,,,,3000144
026525144_1,CHENGALPATTU,7,33030803101,26525144,33030806101,English,2,Mottu,Mottu,5,,,,,3000144
026528020_1,CHENGALPATTU,7,33030803101,26528020,33030806101,English,2,Arumbu,Arumbu,5,,,,,3000144
026528458_1,CHENGALPATTU,7,33030803101,26528458,33030806101,English,2,Arumbu,Arumbu,6,,,,,3000144
026537050_2,CHENGALPATTU,5,33030600402,26537050,33030600201,Mathematics,2,Mottu,Mottu,8,,,,,3000135
026543115_3,CHENGALPATTU,10,33031300702,26543115,33031300601,Tamil,2,Mottu,Mottu,10,,,,,3000140
026548382_2,CHENGALPATTU,11,33031102402,26548382,33031101502,Mathematics,2,Mottu,Mottu,6,,,,,3000142
026549200_1,CHENGALPATTU,10,33031300702,26549200,33031300601,English,2,Arumbu,Arumbu,4,,,,,3000140
026565334_2,CHENGALPATTU,8,33031005603,26565334,33031005201,Mathematics,2,Arumbu,Arumbu,6,,,,,3000143
026565334_1,CHENGALPATTU,8,33031005603,26565334,33031005201,English,2,Arumbu,Arumbu,8,Mottu,5,,,3000143
026565398_1,CHENGALPATTU,8,33031005603,26565398,33031005201,English,2,Arumbu,Arumbu,8,Mottu,7,,,3000143
026565398_2,CHENGALPATTU,8,33031005603,26565398,33031005201,Mathematics,2,Arumbu,Arumbu,8,,,,,3000143
026565457_2,CHENGALPATTU,8,33031005603,26565457,33031005201,Mathematics,2,Arumbu,Arumbu,10,Mottu,6,,,3000143
026565549_1,CHENGALPATTU,8,33031005603,26565549,33031005201,English,2,Arumbu,Arumbu,7,,,,,3000143
026565549_2,CHENGALPATTU,8,33031005603,26565549,33031005201,Mathematics,2,Arumbu,Arumbu,8,,,,,3000143
026565853_2,CHENGALPATTU,8,33031005603,26565853,33031005201,Mathematics,2,Arumbu,Arumbu,6,,,,,3000143
026565853_1,CHENGALPATTU,8,33031005603,26565853,33031005201,English,2,Arumbu,Arumbu,6,,,,,3000143
026565924_2,CHENGALPATTU,8,33031005603,26565924,33031005201,Mathematics,2,Arumbu,Arumbu,8,,,,,3000143
026582102_2,CHENGALPATTU,5,33030600402,26582102,33030600201,Mathematics,2,Mottu,Mottu,6,,,,,3000135
026630557_1,CHENGALPATTU,7,33030808705,26630557,33030806002,English,2,Mottu,Mottu,9,,,,,3000143
026632004_1,CHENGALPATTU,8,33031004102,26632004,33031004402,English,2,Arumbu,Arumbu,6,,,,,3000147
026681789_1,CHENGALPATTU,10,33031304906,26681789,33031304501,English,2,Arumbu,Arumbu,5,,,,,3000142
026684885_1,CHENGALPATTU,9,33031200804,26684885,33031200601,English,2,Mottu,Mottu,10,,,,,3000149
026716882_1,CHENGALPATTU,10,33031300202,26716882,33031300201,English,2,Arumbu,Arumbu,10,Mottu,8,,,3000139
026716882_2,CHENGALPATTU,10,33031300202,26716882,33031300201,Mathematics,2,Arumbu,Arumbu,10,Mottu,9,,,3000139
026717439_2,CHENGALPATTU,10,33031300202,26717439,33031300201,Mathematics,2,Arumbu,Arumbu,9,Mottu,9,,,3000139
026729012_1,CHENGALPATTU,8,33031003204,26729012,33031003301,English,2,Arumbu,Arumbu,9,Mottu,6,,,3000150
026730380_2,CHENGALPATTU,7,33030807901,26730380,33030804202,Mathematics,2,Mottu,Mottu,8,,,,,3000146
026730380_1,CHENGALPATTU,7,33030807901,26730380,33030804202,English,2,Mottu,Mottu,10,,,,,3000146
026732510_1,CHENGALPATTU,11,33031101402,26732510,33031101401,English,2,Arumbu,Arumbu,7,,,,,3000143
026732510_3,CHENGALPATTU,11,33031101402,26732510,33031101401,Tamil,2,Arumbu,Arumbu,10,Mottu,8,,,3000143
026732634_3,CHENGALPATTU,11,33031101402,26732634,33031101401,Tamil,2,Mottu,Mottu,9,,,,,3000143
026732634_1,CHENGALPATTU,11,33031101402,26732634,33031101401,English,2,Arumbu,Arumbu,8,Mottu,7,,,3000143
026737091_1,CHENGALPATTU,8,33031003204,26737091,33031003301,English,2,Arumbu,Arumbu,6,,,,,3000150
026737135_1,CHENGALPATTU,8,33031003204,26737135,33031003301,English,2,Arumbu,Arumbu,6,,,,,3000150
026737252_1,CHENGALPATTU,8,33031003204,26737252,33031003301,English,2,Arumbu,Arumbu,5,,,,,3000150
026737383_1,CHENGALPATTU,8,33031003204,26737383,33031003301,English,2,Arumbu,Arumbu,8,Mottu,5,,,3000150
026739716_1,CHENGALPATTU,9,33031204104,26739716,33031204101,English,3,Malar,Malar,9,,,,,3000147
026739716_2,CHENGALPATTU,9,33031204104,26739716,33031204101,Mathematics,3,Malar,Malar,7,,,,,3000147
026742816_3,CHENGALPATTU,9,33031204206,26742816,33031204207,Tamil,2,Arumbu,Arumbu,7,,,,,3000118
026748115_2,CHENGALPATTU,8,33031003603,26748115,33031006002,Mathematics,2,Arumbu,Arumbu,3,,,,,3000144
026748115_1,CHENGALPATTU,8,33031003603,26748115,33031006002,English,2,Arumbu,Arumbu,7,,,,,3000144
